AS212663, 2
AS47297, 1
AS59684, 1
AS31034, 3
AS38700, 3
AS9155, 1
AS207790, 2
AS43561, 1
AS212702, 1
AS44365, 1
AS55286, 2
AS2848, 1
AS9269, 1
AS39642, 1
AS201729, 1
AS202053, 6
AS40980, 1
AS207586, 1
AS204548, 1
AS42961, 1
AS11215, 1
AS31679, 1
AS31036, 1
AS12430, 4
AS9829, 1
AS3582, 2
AS34351, 1
AS53667, 2
AS50821, 1
AS2514, 1
AS12496, 2
AS20546, 2
AS30860, 2
AS21782, 1
AS204035, 1
AS328453, 1
AS40788, 3
AS202635, 1
AS49106, 1
AS30221, 1
AS12810, 1
AS42298, 1
AS266387, 1
AS27747, 2
AS60631, 1
AS56465, 1
AS29100, 1
AS142002, 1
AS4528, 1
AS34977, 2
AS45671, 1
AS6799, 3
AS31200, 3
AS4314, 1
AS3786, 2
AS56300, 1
AS5769, 9
AS398721, 1
AS6752, 2
AS30236, 1
AS39178, 1
AS55, 2
AS41998, 1
AS30496, 1
AS51504, 1
AS198507, 1
AS56981, 1
AS9318, 2
AS60785, 2
AS7057, 1
AS25512, 1
AS56030, 1
AS9198, 3
AS395460, 1
AS44002, 1
AS62370, 1
AS12445, 1
AS40676, 3
AS28788, 1
AS35224, 1
AS63297, 1
AS29686, 2
AS4780, 1
AS395075, 1
AS197704, 1
AS197988, 2
AS13292, 1
AS197897, 1
AS39501, 1
AS16735, 1
AS42455, 1
AS5378, 6
AS24904, 2
AS41268, 1
AS11260, 2
AS21499, 1
AS25521, 2
AS50448, 2
AS55081, 1
AS8359, 2
AS49367, 2
AS55990, 1
AS211494, 1
AS39007, 1
AS8001, 1
AS3223, 4
AS50543, 1
AS27566, 1
AS46293, 3
AS5483, 4
AS200295, 2
AS210079, 1
AS13213, 1
AS11550, 1
AS36352, 7
AS14978, 1
AS212806, 2
AS141995, 1
AS42730, 3
AS39699, 1
AS46887, 1
AS35699, 1
AS134090, 1
AS8612, 2
AS9, 1
AS7418, 2
AS60930, 1
AS41435, 2
AS16223, 1
AS12722, 1
AS14868, 1
AS39598, 1
AS57370, 3
AS31736, 1
AS22051, 1
AS42201, 2
AS204274, 3
AS12668, 3
AS7155, 1
AS14586, 1
AS12312, 3
AS207054, 1
AS16842, 1
AS8447, 2
AS199669, 1
AS32475, 1
AS15547, 1
AS48314, 1
AS138466, 1
AS58212, 1
AS3292, 1
AS12231, 1
AS43624, 1
AS21859, 5
AS6057, 2
AS35415, 1
AS264824, 1
AS202128, 3
AS37680, 2
AS211507, 1
AS14843, 1
AS24971, 2
AS21230, 1
AS35680, 3
AS8866, 2
AS30969, 1
AS24921, 1
AS3853, 1
AS197726, 1
AS35539, 1
AS47583, 5
AS209846, 1
AS33582, 1
AS25100, 1
AS9008, 1
AS212728, 1
AS23884, 1
AS5056, 1
AS7712, 2
AS210329, 1
AS1901, 1
AS12975, 1
AS19969, 2
AS21766, 2
AS21804, 1
AS59729, 1
AS59078, 1
AS48757, 1
AS28343, 3
AS204568, 1
AS133159, 1
AS203523, 3
AS15685, 1
AS23367, 2
AS134155, 1
AS11845, 1
AS202204, 1
AS1547, 1
AS263702, 1
AS20850, 1
AS786, 1
AS8427, 1
AS35613, 2
AS24651, 2
AS25229, 2
AS39280, 2
