ASNo,Number of Nodes,Running SUM,Nodes/33
AS35434,2,6225,
AS31400,2,6227,
AS206805,2,6229,
AS32613,2,6231,
AS51184,2,6233,
AS3214,2,6235,
AS12570,2,6237,
AS15962,2,6239,
AS197451,2,6241,
AS7393,2,6243,
AS12400,2,6245,
AS212663,2,6247,
AS207790,2,6249,
AS55286,2,6251,
AS3582,2,6253,
AS53667,2,6255,
AS12496,2,6257,
AS20546,2,6259,
AS30860,2,6261,
AS27747,2,6263,
AS34977,2,6265,
AS3786,2,6267,
AS6752,2,6269,
AS55,2,6271,
AS9318,2,6273,
AS60785,2,6275,
AS29686,2,6277,
AS197988,2,6279,
AS24904,2,6281,
AS11260,2,6283,
AS25521,2,6285,
AS50448,2,6287,
AS8359,2,6289,
AS49367,2,6291,
AS200295,2,6293,
AS212806,2,6295,
AS8612,2,6297,
AS7418,2,6299,
AS41435,2,6301,
AS42201,2,6303,
AS8447,2,6305,
AS6057,2,6307,
AS37680,2,6309,
AS24971,2,6311,
AS8866,2,6313,
AS7712,2,6315,
AS19969,2,6317,
AS21766,2,6319,
AS23367,2,6321,
AS35613,2,6323,
AS24651,2,6325,
AS25229,2,6327,
AS39280,2,6329,
AS47610,2,6331,
AS8821,2,6333,
AS41281,2,6335,
AS56048,2,6337,
AS2586,2,6339,
AS36874,2,6341,
AS3329,2,6343,
AS42155,2,6345,
AS31042,2,6347,
AS27823,2,6349,
AS16202,2,6351,
AS200081,2,6353,
AS21479,2,6355,
AS60294,2,6357,
AS5470,2,6359,
AS32133,2,6361,
AS213250,2,6363,
AS29518,2,6365,
AS35540,2,6367,
AS197895,2,6369,
AS42682,2,6371,
AS1680,2,6373,
AS40285,2,6375,
AS3737,2,6377,
AS46606,2,6379,
AS34240,2,6381,
AS45538,2,6383,
AS43260,2,6385,
AS36666,2,6387,
AS25795,2,6389,
AS25310,2,6391,
AS43317,2,6393,
AS46261,2,6395,
AS35244,2,6397,
AS395354,2,6399,
AS34665,2,6401,
AS44925,2,6403,
AS44724,2,6405,
AS16904,2,6407,
AS43289,2,6409,
AS136907,2,6411,
AS135352,2,6413,
AS11404,2,6415,
AS40470,2,6417,
AS35728,2,6419,
AS49467,2,6421,
AS22927,2,6423,
AS26277,2,6425,
AS16686,2,6427,
AS57672,2,6429,
AS29278,2,6431,
AS13110,2,6433,
AS40805,2,6435,
AS2527,2,6437,
AS47165,1,6438,
AS30491,1,6439,
AS36351,1,6440,
AS29869,1,6441,
AS6503,1,6442,
AS31257,1,6443,
