blockGenerator,time
15_L2_UNIV15_miner_152,2022-05-04 21:57:55.549553
15_L2_UNIV15_miner_152,2022-05-04 21:58:09.822869
15_L2_UNIV15_miner_152,2022-05-04 21:58:23.942925
15_L2_UNIV15_miner_152,2022-05-04 21:58:38.146810
15_L2_UNIV15_miner_152,2022-05-04 21:58:52.623789
15_L2_UNIV15_miner_152,2022-05-04 21:59:06.771547
15_L2_UNIV15_miner_151,2022-05-04 21:59:21.207461
15_L2_UNIV15_miner_152,2022-05-04 21:59:35.883871
15_L2_UNIV15_miner_152,2022-05-04 21:59:50.391522
15_L2_UNIV15_miner_151,2022-05-04 22:00:04.849240
15_L2_UNIV15_miner_152,2022-05-04 22:00:19.169325
15_L2_UNIV15_miner_152,2022-05-04 22:00:33.617290
15_L2_UNIV15_miner_152,2022-05-04 22:00:48.116994
15_L2_UNIV15_miner_152,2022-05-04 22:01:02.445304
15_L2_UNIV15_miner_151,2022-05-04 22:01:16.667940
15_L2_UNIV15_miner_151,2022-05-04 22:01:31.075559
15_L2_UNIV15_miner_152,2022-05-04 22:01:45.479959
15_L2_UNIV15_miner_152,2022-05-04 22:02:00.085218
15_L2_UNIV15_miner_151,2022-05-04 22:02:14.485764
15_L2_UNIV15_miner_152,2022-05-04 22:02:28.880588
15_L2_UNIV15_miner_152,2022-05-04 22:02:43.185499
blockNum,time,hosts,delta
19,2022-05-04 22:02:29.770141,14_L2_UNIV14_miner_1410,0 days 00:00:00.889553
0,2022-05-04 21:57:56.561959,14_L2_UNIV14_miner_149,0 days 00:00:01.012406
1,2022-05-04 21:58:10.876679,14_L2_UNIV14_miner_149,0 days 00:00:01.053810
2,2022-05-04 21:58:24.951723,14_L2_UNIV14_miner_149,0 days 00:00:01.008798
3,2022-05-04 21:58:39.149739,14_L2_UNIV14_miner_149,0 days 00:00:01.002929
4,2022-05-04 21:58:53.599355,14_L2_UNIV14_miner_149,0 days 00:00:00.975566
5,2022-05-04 21:59:07.792433,14_L2_UNIV14_miner_149,0 days 00:00:01.020886
6,2022-05-04 21:59:22.189919,14_L2_UNIV14_miner_149,0 days 00:00:00.982458
7,2022-05-04 21:59:36.874268,14_L2_UNIV14_miner_149,0 days 00:00:00.990397
8,2022-05-04 21:59:51.375164,14_L2_UNIV14_miner_149,0 days 00:00:00.983642
9,2022-05-04 22:00:05.803726,14_L2_UNIV14_miner_149,0 days 00:00:00.954486
10,2022-05-04 22:00:20.177128,14_L2_UNIV14_miner_149,0 days 00:00:01.007803
11,2022-05-04 22:00:34.608785,14_L2_UNIV14_miner_149,0 days 00:00:00.991495
12,2022-05-04 22:00:49.096159,14_L2_UNIV14_miner_149,0 days 00:00:00.979165
13,2022-05-04 22:01:03.464450,14_L2_UNIV14_miner_149,0 days 00:00:01.019146
14,2022-05-04 22:01:17.654467,14_L2_UNIV14_miner_149,0 days 00:00:00.986527
15,2022-05-04 22:01:32.080774,14_L2_UNIV14_miner_149,0 days 00:00:01.005215
16,2022-05-04 22:01:46.527384,14_L2_UNIV14_miner_149,0 days 00:00:01.047425
17,2022-05-04 22:02:01.084677,14_L2_UNIV14_miner_149,0 days 00:00:00.999459
18,2022-05-04 22:02:15.465646,14_L2_UNIV14_miner_149,0 days 00:00:00.979882
19,2022-05-04 22:02:29.919297,14_L2_UNIV14_miner_149,0 days 00:00:01.038709
0,2022-05-04 21:57:56.698789,14_L2_UNIV14_miner_148,0 days 00:00:01.149236
1,2022-05-04 21:58:11.036519,14_L2_UNIV14_miner_148,0 days 00:00:01.213650
2,2022-05-04 21:58:25.072939,14_L2_UNIV14_miner_148,0 days 00:00:01.130014
3,2022-05-04 21:58:39.304108,14_L2_UNIV14_miner_148,0 days 00:00:01.157298
4,2022-05-04 21:58:53.731748,14_L2_UNIV14_miner_148,0 days 00:00:01.107959
5,2022-05-04 21:59:07.932389,14_L2_UNIV14_miner_148,0 days 00:00:01.160842
6,2022-05-04 21:59:22.337268,14_L2_UNIV14_miner_148,0 days 00:00:01.129807
7,2022-05-04 21:59:36.992604,14_L2_UNIV14_miner_148,0 days 00:00:01.108733
8,2022-05-04 21:59:51.513018,14_L2_UNIV14_miner_148,0 days 00:00:01.121496
